Location,Future_Step,Segment_R2,Segment_MSE,Segment_MAE,Total_R2,Total_MSE,Total_MAE
"ABE2019_utide(20,23,25,27)(1final)",20,"[0.6965981690919041, 0.45692344982297073, 0.5986577219668301, 0.7329252983861275, 0.7366343398530577, 0.7364108409059337, 0.8970484949811852, 0.8381939129362956, 0.8553601928208975, 0.8644597597112383, 0.8404934994244427, 0.804138990269988, 0.8765885340405073, 0.8974546632183892, 0.9154417097492433, 0.9512805939129696, 0.9640549516684749, 0.8895217202499551, 0.7816503764633163, 0.833403812904014, 0.8514775429155536, 0.9075248077626807, 0.9405669991607255, 0.9429868116639808, 0.9646149928482661, 0.9653246965643241, 0.9756047443010586, 0.9005972369789951, 0.9199598040333189]","[0.2201202434909313, 0.2685823930053821, 0.36256031684776674, 0.14305933459022976, 0.15843256885004922, 0.20275386555459743, 0.08139430740584491, 0.13053644229959813, 0.1442671422964501, 0.1558856364816839, 0.19734953936511104, 0.24191464135712099, 0.16492372513164189, 0.13290696275183442, 0.101482636872724, 0.05403894491189609, 0.03225901588852709, 0.08528932002927142, 0.1582310935306794, 0.12053878322201042, 0.13348454314050343, 0.0959649738703756, 0.0718208891519454, 0.07688107839133057, 0.048777110314242283, 0.0485572728895462, 0.03096844738296661, 0.11483182827874719, 0.07812701917454831]","[0.40175447099999995, 0.455309591, 0.5042032989999999, 0.318790424, 0.32793891199999997, 0.315166094, 0.24927307299999998, 0.302289167, 0.330593699, 0.345291183, 0.38825764400000007, 0.42517340400000003, 0.34324780499999996, 0.315319552, 0.265702556, 0.18513867899999994, 0.13620959099999996, 0.23543853000000003, 0.353024824, 0.310304892, 0.30845241599999995, 0.256443594, 0.238096254, 0.24750053600000002, 0.19184344099999995, 0.18934409800000002, 0.150086212, 0.294971016, 0.239694829]",0.8730364589414911,0.13016305483214086,0.29301718874327953
"ABE2019_utide(20,23,25,27)(1final)",23,"[0.5947759740387663, 0.10710191658719392, 0.7675245251681189, 0.8496745542536467, 0.7995738611948169, 0.661851770419507, 0.8587768307467051, 0.7124545561112865, 0.772702501124, 0.9177178029501764, 0.9184981304918518, 0.9188813716651489, 0.9506816436756662, 0.940180290930688, 0.9364103378462455, 0.9619689139262608, 0.9468309120096848, 0.8579163736653895, 0.7064980731901418, 0.7505028610677842, 0.745271956874231, 0.8315525694815189, 0.8456548236984202, 0.8231802065604931, 0.8855019783403467, 0.8963968415478406, 0.903443948030536, 0.8649653452915413, 0.8412974844484487]","[0.2939929894160111, 0.44158913485540213, 0.2100112209145726, 0.0805222587931404, 0.12057011539729531, 0.26010500930131697, 0.1116522002172735, 0.23197618782977852, 0.2267118662109833, 0.09463324420036909, 0.10083825014523079, 0.10019239616939497, 0.0659077094590915, 0.07753113007988433, 0.07631713666479821, 0.04218359644218808, 0.0477167936578845, 0.1096886727851779, 0.2126916001972541, 0.18052082744807785, 0.22893680275155173, 0.17480421372635319, 0.186516037247911, 0.23843775093653677, 0.1578318921713644, 0.14507982162326333, 0.12257264493657624, 0.1559944191680566, 0.1549090969330772]","[0.46396454699999995, 0.585158538, 0.354361202, 0.23827447800000004, 0.27855549099999993, 0.3677359929999999, 0.282592875, 0.41625968499999993, 0.422285295, 0.26858099900000004, 0.256448192, 0.26670249, 0.20036842900000004, 0.24996246100000008, 0.244887404, 0.18759630500000005, 0.192933743, 0.298929005, 0.383481375, 0.37578856400000005, 0.39601725900000007, 0.36748376000000005, 0.391995554, 0.4420697760000001, 0.3586308570999999, 0.3360116321, 0.3089874226, 0.30982097, 0.3319414404999999]",0.8447025939737626,0.15921094045862444,0.32949736919690864
"ABE2019_utide(20,23,25,27)(1final)",25,"[0.6205468226224954, 0.18270470973326036, 0.7678404916583188, 0.8547764817696943, 0.7759205701028646, 0.7068576814347549, 0.8859021245258576, 0.8607125886062089, 0.8348490547925609, 0.7094463193456751, 0.6017967219567733, 0.4883555705577811, 0.5746676514566504, 0.6425239820889201, 0.7180164011460131, 0.805213730497792, 0.8691144383373044, 0.8489435197520191, 0.7821713832441233, 0.8706957926855666, 0.8822535416238116, 0.9293092747479484, 0.9597068979398203, 0.9603980709279536, 0.9668489649413223, 0.9596649362620264, 0.9675478065959785, 0.9012600414364537, 0.895289363605058]","[0.275296050612973, 0.4041992326501931, 0.20972578646853918, 0.0777893965970474, 0.13479919775892568, 0.22548627739857097, 0.09020671964920701, 0.11236958677152592, 0.1647254333181744, 0.3341675161885547, 0.49267730915005986, 0.6319495586257929, 0.5684025774702615, 0.4633175265528213, 0.338422632265876, 0.21605445001567272, 0.11746372892069878, 0.11661572315856172, 0.1578535363298531, 0.09355659386242891, 0.10582461744368592, 0.07335841578227449, 0.04869157498000421, 0.05340236359860618, 0.04569765062232589, 0.056482871175885324, 0.04119629063522809, 0.11406614485780253, 0.1022077694663847]","[0.4479017249999999, 0.561590892, 0.35154088999999994, 0.24330381000000004, 0.309329347, 0.321309622, 0.258770102, 0.285930411, 0.35001456800000014, 0.5095542999999999, 0.621554661, 0.7026231299999999, 0.6606705450000001, 0.59322946, 0.489915364, 0.38955786099999995, 0.28601614599999997, 0.267988099, 0.33051521100000003, 0.27469722100000005, 0.265008473, 0.221080891, 0.196787908, 0.20709902799999994, 0.184929323, 0.20404268920000004, 0.17456145179999996, 0.2764780082, 0.2814943106]",0.8065223290810137,0.1983533578117317,0.3499416914583333
"ABE2019_utide(20,23,25,27)(1final)",27,"[0.6923687122808951, 0.4501247640906548, 0.660626884660999, 0.8135243695161009, 0.7656323701536225, 0.706914488047669, 0.8797279871712573, 0.8068921128759974, 0.8455936432999827, 0.9006810462538141, 0.8755418089680935, 0.840243221809521, 0.9037340775721134, 0.9039195516156608, 0.9215220227003904, 0.946879726861612, 0.9624242456609021, 0.901426593059963, 0.7698092577608477, 0.8450767431461693, 0.8505221603658127, 0.8747071224396172, 0.9185526996811653, 0.9213365867807882, 0.9197587722633875, 0.9290172094411123, 0.9505712724427164, 0.8726147947484899, 0.8828477853362251]","[0.2231887452870054, 0.2719447316714168, 0.3065792740049996, 0.0998862095627799, 0.14098825804071008, 0.22544258151822066, 0.09508804346972241, 0.1557890498596337, 0.1540085282742013, 0.11422731940296586, 0.15398599167892202, 0.1973210684127135, 0.1286471593753847, 0.12452795003045784, 0.09418534893721889, 0.05892033061122218, 0.03372249899536908, 0.0760987487305713, 0.16681197922477992, 0.11209296682878091, 0.13434319310953843, 0.1300211162618597, 0.09842372832129818, 0.10607594864879849, 0.11060998801768529, 0.0994001606366107, 0.06274707539266129, 0.1471576399903827, 0.1143519604223311]","[0.3990775379999999, 0.45323788200000004, 0.439716112, 0.267479981, 0.310680019, 0.33302991, 0.269528896, 0.33743809899999994, 0.339649357, 0.292290351, 0.341527712, 0.37995239099999994, 0.295925381, 0.30607720000000005, 0.26263034700000004, 0.20906100799999996, 0.162463515, 0.23288947099999993, 0.34398692500000005, 0.305278733, 0.29862230800000006, 0.304304217, 0.279312614, 0.2918979829999999, 0.294884867, 0.281329017, 0.21968791299999993, 0.301983741, 0.284371795]",0.8701311802731548,0.1331415472675009,0.3011779447580645
"ABEmulti2019(20,23,25,27)(1final)",20,"[0.7315797493700704, 0.557982871987013, 0.2807913474668765, 0.4669825871865705, 0.6137246506079898, 0.831460708188228, 0.9416939946966814, 0.9228399156559924, 0.9003556744709093, 0.7040111603608818, 0.42041019587463735, -0.09316187951845345, -0.3122406739314765, -0.606596766423392, -0.8571453951800874, -1.0157689252467392, -1.2663056793659582, -1.4279485855375444, -1.5741744830240498, -1.5319239753639842, -1.3140186651777737, -1.2122848582659613, -1.1760834970128582, -1.17093623863583, -1.1978183630797115, -1.1439552116011527, -1.0821096317605763, -0.9673605106112626, -0.783075493129201]","[0.1947408515951058, 0.21860273280515474, 0.6497110601453102, 0.2855123152485599, 0.23237120531766112, 0.1296411166154076, 0.046097207791161804, 0.062248603130969714, 0.09938759163539652, 0.34041852486257346, 0.7170979267435768, 1.3502016781876152, 1.753642731098184, 2.0822779786368866, 2.2288531520683836, 2.235865226105842, 2.0339043710453564, 1.8743782433528025, 1.8654231538862076, 1.83194489934616, 2.0797240390672185, 2.2957709357606952, 2.629654390950086, 2.9274615929468495, 3.0296229215642154, 3.0022698565796264, 2.643124686721088, 2.2727296249216167, 1.7404551745395813]","[0.38287481999999995, 0.3968029040000001, 0.6763947410000002, 0.45200591400000006, 0.3574767810000001, 0.29307173, 0.16576224200000003, 0.19484678700000008, 0.27187232699999997, 0.5086633209999999, 0.756964371, 1.041138152, 1.189976699, 1.299500739, 1.3428409239999999, 1.342232551, 1.279910983, 1.2208597669999999, 1.198325932, 1.1986691859999998, 1.2797962580000002, 1.359380386, 1.4590721770000001, 1.5358451069999999, 1.5626431820000002, 1.5519141229999998, 1.4597710229999998, 1.3480922359999996, 1.1706516130000002]",-0.43616722310158074,1.4723590051930606,0.9767159218077957
"ABEmulti2019(20,23,25,27)(1final)",23,"[0.65166330486812, 0.3820326692420416, 0.6154069575441201, 0.8416513267800159, 0.8255630849285827, 0.6877870627732359, 0.8139843086151918, 0.5524655886006049, 0.6395135830410561, 0.787068161284604, 0.7385597422019352, 0.5793994804778972, 0.51134751344002, 0.3903221431443774, 0.29045298583358403, 0.27672943894255886, 0.26589402283382946, 0.18537281908330938, 0.2705622532939804, 0.35826600204419623, 0.47366288219525665, 0.5359189213539761, 0.4978705877650226, 0.40447387329546347, 0.2976272631110881, 0.17547065335090217, -0.021533412244102212, -0.23030262959574, -0.4239725596867212]","[0.2527208155592238, 0.3056201643028358, 0.347429570623821, 0.08481992374121593, 0.1049358087976352, 0.2401554757276295, 0.14706553696440713, 0.36104667587518824, 0.3595576226602386, 0.24489417411868772, 0.32346715815198807, 0.5194981072295426, 0.653021887000059, 0.7901912925040919, 0.8515628895669586, 0.8022424972824951, 0.6588261104241332, 0.6288928330070113, 0.5286005556334615, 0.46431936177039007, 0.47304543088799345, 0.4815943336642091, 0.6067905094273559, 0.8030543838631726, 0.968198545842827, 1.1546228157728877, 1.2967809855092665, 1.4212673370334334, 1.3899357707842972]","[0.42988560099999995, 0.47983225799999984, 0.45577822100000004, 0.232791207, 0.26940679999999995, 0.36580570100000004, 0.31824803700000004, 0.5274553020000001, 0.5335242649999999, 0.4374560069999999, 0.494551968, 0.6405109739999999, 0.7218679279999999, 0.7943069459999998, 0.823857582, 0.7999133280000001, 0.7254182189999999, 0.6838486240000001, 0.6110074459999999, 0.5744222790000001, 0.5897338790000001, 0.61659829, 0.70417333, 0.8081074709999999, 0.8858126970000001, 0.9653191769999999, 1.0248181240000003, 1.066227936, 1.051538283]",0.39650512918599967,0.6187030962257017,0.6543080498991936
"ABEmulti2019(20,23,25,27)(1final)",25,"[0.6889892430286151, 0.5350904832413448, 0.3090558895304937, 0.5693543397282956, 0.7151149465131935, 0.8428108624388847, 0.9565946418055985, 0.801251149307904, 0.8406045678482259, 0.8798607222109734, 0.7720956187164674, 0.48503270752379946, 0.38319640232011254, 0.22174277872278836, 0.10777859818847069, 0.0847920341042071, 0.04370037382464287, 0.000717249468587311, 0.13500867787132598, 0.2831955206595034, 0.5085188608393849, 0.6213649881277876, 0.6370446468210151, 0.6057047969451805, 0.5122969659896294, 0.42550781498144474, 0.281643047664636, 0.025472474561998304, -0.17476224172469457]","[0.2256405749033775, 0.22992432742918484, 0.6241777388706073, 0.2306765905956557, 0.17137796486343645, 0.12091053127240294, 0.0343166335187646, 0.1603398756578663, 0.15898474935858828, 0.1381728979135141, 0.2819748693833988, 0.6360537405671225, 0.8242795449602301, 1.0086836395098304, 1.070799566329949, 1.0151370228861876, 0.8582346183111785, 0.7714470799385313, 0.6268319614115281, 0.5186357578400542, 0.4417186236403786, 0.3929237468085263, 0.4386077737899949, 0.5316987402409805, 0.6722831675151685, 0.8044853551925044, 0.9119149950763296, 1.125791417189901, 1.1466822522894216]","[0.421476333, 0.41087620599999997, 0.660239294, 0.41116234500000004, 0.310723099, 0.2830171210000001, 0.15397817400000002, 0.3460294810000001, 0.33959256700000007, 0.312923883, 0.4631842619999999, 0.7024305669999998, 0.8088849699999998, 0.895295041, 0.9227683660000001, 0.9016967709999999, 0.8292560969999999, 0.76042467, 0.6702977860000001, 0.60845268, 0.561749573, 0.55183816, 0.59764419, 0.6599247730000001, 0.739019528, 0.8053971959999998, 0.858255502, 0.9396905900000001, 0.9464513019999998]",0.4392755949144045,0.5748548037994765,0.6259478299731184
"ABEmulti2019(20,23,25,27)(1final)",27,"[0.7387544585422693, 0.5952755135097055, 0.427297952143021, 0.6505205553059115, 0.7078024864767499, 0.7795216473072905, 0.873845317631789, 0.8030050522493642, 0.7843844109461594, 0.6494789378035328, 0.4124909204373107, 0.02816842957012078, -0.1519794154454921, -0.39459187731057277, -0.5765230999777717, -0.6626335674256743, -0.8235692612587324, -0.9343660894344501, -1.078915836697297, -0.9957314216647866, -0.8991833437173065, -0.8038590400654251, -0.6699141938293287, -0.563193354044667, -0.4918262075259323, -0.35679385119144147, -0.16334068192733042, -0.05191431239026789, 0.08924502022870351]","[0.1895355477074064, 0.20015939015227902, 0.5173614824432485, 0.18719967300827417, 0.17577691280350083, 0.16959285591712736, 0.09973893043611481, 0.15892492116343562, 0.21506005486335814, 0.40313635835617423, 0.726896056312105, 1.200342457869231, 1.539473945902253, 1.8075026764646172, 1.8920642884577916, 1.8441719835066603, 1.636568943522103, 1.4933321629266059, 1.5065248149768191, 1.4439888535192205, 1.70689083625931, 1.8719321523709171, 2.017981937890327, 2.1079331695117443, 2.056435121862187, 1.8999749896745737, 1.4767975847981918, 1.215190000893946, 0.888985476716317]","[0.37399580099999996, 0.37850346200000007, 0.588233824, 0.35153587799999997, 0.338726561, 0.289561794, 0.26439908, 0.33906864000000003, 0.40777476499999993, 0.558243499, 0.762301714, 0.986263812, 1.115854876, 1.210821293, 1.235003989, 1.215442453, 1.142195035, 1.085947104, 1.0685149, 1.057312574, 1.1534620500000001, 1.223732488, 1.2745007599999998, 1.3009666359999996, 1.284639463, 1.2318308560000002, 1.089453555, 0.9810261669999999, 0.8302759620000001]",-0.08522415300142905,1.1125720797846463,0.8625593107190861
"BOU2019utide(20,23,25,27)(111finalfinal)",20,"[0.8114772924937996, 0.7048959468068126, 0.37609895288095185, 0.6628665536816437, 0.405598525661918, 0.30258342398541993, 0.8660987190530931, 0.5421442194366988, 0.8446203633418338, 0.6483739490761881, 0.676714687049686, 0.8995579839254083, 0.9066715421728403, 0.9022938294362708, 0.9258960421650947, 0.8957755984744473, 0.908261370702299, 0.8104425333069708, 0.7620495377592854, 0.8140273812962125, 0.6275484008323655, 0.8782607678718801, 0.9296213414818721, 0.7794977634365241, 0.8701265085293796, 0.7748128397173557, 0.5814596316705914, 0.6303925394544656, 0.642806275351882]","[0.02044506236326422, 0.022589969125647723, 0.022400460528873546, 0.014932357892267132, 0.025974106825264447, 0.01738399136551525, 0.00795665133337453, 0.038612407583792405, 0.018623836749697465, 0.07313338285488753, 0.07013713516449079, 0.0225982499598393, 0.020283743688578278, 0.02007367212540995, 0.012135870742632535, 0.016644106827902152, 0.011272498739067771, 0.014939323754166942, 0.025568460061796364, 0.021379497998161887, 0.03639860856880911, 0.016936924408916462, 0.013066948644957214, 0.04526915985994577, 0.033099706403678986, 0.04917042036587758, 0.08130451753985658, 0.06273494768157425, 0.05114709036369205]","[0.1239375714510716, 0.12475003902996443, 0.12334118574341087, 0.1049934213120948, 0.1460557869810555, 0.10284638230545554, 0.07865253541308938, 0.162476066906384, 0.10099436190149111, 0.22396306530702692, 0.17873533734446423, 0.1211638626459553, 0.11615743763257137, 0.1153302260771427, 0.09168553624393752, 0.0972161239546785, 0.09030789319000002, 0.09798399047764297, 0.11841730682808026, 0.11891954522441951, 0.154102478085741, 0.11361312215575016, 0.09301759219216964, 0.17732958786841096, 0.14942660632787508, 0.18037748885596439, 0.25870045585883955, 0.23276305938383957, 0.21085760043000917]",0.7960552918579957,0.03188693903128186,0.14146705035288232
"BOU2019utide(20,23,25,27)(111finalfinal)",23,"[0.8879066697206515, 0.9118947931507267, 0.3908716425204656, 0.5342001839975755, 0.677782927088473, -1.4611637260967747, -0.026132237114802948, -0.5927241117987554, 0.1897920450095565, 0.7576625653272847, 0.06277001234188262, 0.426427082144173, 0.7320147385978142, 0.8426142529474092, 0.927484469133061, 0.894551319269292, 0.9103827256875217, 0.8023685401455285, 0.4998436850138287, 0.4322212666636026, 0.02429384175977467, 0.8924013872209173, 0.9176844856752429, 0.8442125266391254, 0.8294541153964313, 0.6044354697654957, 0.40708772755841205, 0.5240498415982098, 0.6773746594072806]","[0.012156387728474995, 0.006744380095758829, 0.021870063837437823, 0.020631265259075743, 0.014080215198066215, 0.06134762269070476, 0.06097459542523284, 0.13431939746975566, 0.09711170016598963, 0.05040285366635443, 0.20333316637460175, 0.1290470330491426, 0.0582431605659375, 0.03233480408983731, 0.011875736939654049, 0.016839617990158994, 0.011011834593776939, 0.015575647925047792, 0.05374323144387248, 0.06527210498712618, 0.09535291729537733, 0.014969616115417007, 0.015283221093050366, 0.03198320409652767, 0.04346551898168409, 0.08637292734207697, 0.11517753101507966, 0.08078491771324728, 0.046197193036268215]","[0.09802210017273233, 0.06993665380749108, 0.12267984918450349, 0.12619343329714267, 0.09814692651935701, 0.227771166474082, 0.22391523385016052, 0.296833869748498, 0.2736539893215444, 0.1783073435887857, 0.3942629048894372, 0.30980454291671405, 0.21238377847271397, 0.16465262546254447, 0.08933704589984813, 0.10368165855063383, 0.08451189321701776, 0.08793392527467851, 0.19212595147909806, 0.23376255608616053, 0.2743108193961605, 0.09389522598446418, 0.09701691290786592, 0.15228068854596452, 0.17128610304575012, 0.26948119008383953, 0.3217341648568394, 0.26481068277383957, 0.2005658907210092]",0.6457692378518824,0.05538429910011065,0.1880407505569503
"BOU2019utide(20,23,25,27)(111finalfinal)",25,"[0.930186691358566, 0.9311791428398271, 0.7385092903488143, 0.8439449170940363, 0.9251557491355681, 0.34072106953978576, 0.8417286083478103, 0.5708189569056976, 0.8349968423356512, 0.5904355914867796, 0.6770550900405274, 0.8323376140680075, 0.6879194070452105, 0.479326677958543, 0.5719309274401099, 0.3742597033213967, 0.19749888484999234, -0.3324520703748235, -0.7330636334166938, -0.6323408859450981, -1.1534970258407973, 0.5269260026486517, 0.5283918173910727, 0.940605204008069, 0.866293585355739, 0.8546448019544828, 0.843445966458385, 0.9027153538811351, 0.9046075944716346]","[0.007571169902241014, 0.005268179212134277, 0.009388527791797135, 0.006912011769543587, 0.0032705379295609495, 0.016433362252558356, 0.009404766485570558, 0.03619417743903146, 0.019777314052329634, 0.08518376443622175, 0.0700632843286419, 0.037722027635730244, 0.06782671550619288, 0.10697201098768833, 0.07010409545302865, 0.09992754280184998, 0.09860832757020101, 0.10501265507243428, 0.18622266112994526, 0.18765466092063096, 0.21045498387669492, 0.06581624011338731, 0.087561769895133, 0.012193765272007035, 0.03407656958244444, 0.03173882641129569, 0.030411762231741614, 0.016512510801268213, 0.013659377667890861]","[0.0754578409270091, 0.06007959015964295, 0.0880159845542768, 0.07346954047231408, 0.04947252738820523, 0.11838613672647312, 0.06798175445220521, 0.15784209856127676, 0.11066073025225905, 0.2443874853821341, 0.18286019740935702, 0.1573940225840356, 0.23036405951743727, 0.30776225135699087, 0.2434692298607141, 0.30104351341473046, 0.2973110474241604, 0.29024523107616057, 0.4220021323161605, 0.4240599180201605, 0.43230780046756045, 0.2289042690311605, 0.2787399026851605, 0.09390968325363382, 0.1493216448222945, 0.14233905002021432, 0.13536251183170542, 0.10091446986712488, 0.09681531217503553]",0.6259067859864582,0.058489811360833574,0.18913680884951653
